experiment,model_name,conv_filters,dropout_rate,kernel_sizes,pooling_type,test_macro_f1,type,validation_macro_f1,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image
init_rnn_layers1_hidden4_keras_greedy_maxlen20,init_rnn_layers1_hidden4,,,,,,Captioning,,keras,greedy,,20,38,0.06910227510413736,0.2049037373438333,50,1024,,
init_rnn_layers1_hidden4_keras_beam3_maxlen20,init_rnn_layers1_hidden4,,,,,,Captioning,,keras,beam,3,20,38,0.06910227510413736,0.2049037373438333,50,1024,19.80516712499957,0.3961033424999914
init_rnn_layers1_hidden4_keras_beam5_maxlen20,init_rnn_layers1_hidden4,,,,,,Captioning,,keras,beam,5,20,38,0.06910227510413736,0.2049037373438333,50,1024,,
init_rnn_layers2_hidden2_keras_greedy_maxlen20,init_rnn_layers2_hidden2,,,,,,Captioning,,keras,greedy,,20,38,0.056825176910335944,0.05386646630945617,50,1024,,
init_rnn_layers2_hidden2_keras_beam3_maxlen20,init_rnn_layers2_hidden2,,,,,,Captioning,,keras,beam,3,20,38,0.056825176910335944,0.05386646630945617,50,1024,60.44134245799978,1.2088268491599956
init_rnn_layers2_hidden2_keras_beam5_maxlen20,init_rnn_layers2_hidden2,,,,,,Captioning,,keras,beam,5,20,38,0.056825176910335944,0.05386646630945617,50,1024,,
init_rnn_layers2_hidden4_keras_greedy_maxlen20,init_rnn_layers2_hidden4,,,,,,Captioning,,keras,greedy,,20,38,0.06910227510413736,0.2049037373438333,50,1024,,
init_rnn_layers2_hidden4_keras_beam3_maxlen20,init_rnn_layers2_hidden4,,,,,,Captioning,,keras,beam,3,20,38,0.06910227510413736,0.2049037373438333,50,1024,21.557893749999494,0.43115787499998987
init_rnn_layers2_hidden4_keras_beam5_maxlen20,init_rnn_layers2_hidden4,,,,,,Captioning,,keras,beam,5,20,38,0.06910227510413736,0.2049037373438333,50,1024,,
init_rnn_layers3_hidden2_keras_greedy_maxlen20,init_rnn_layers3_hidden2,,,,,,Captioning,,keras,greedy,,20,38,0.0,0.0,50,1024,,
init_rnn_layers3_hidden2_keras_beam3_maxlen20,init_rnn_layers3_hidden2,,,,,,Captioning,,keras,beam,3,20,38,0.0,0.0,50,1024,4.357010958998217,0.08714021917996434
init_rnn_layers3_hidden2_keras_beam5_maxlen20,init_rnn_layers3_hidden2,,,,,,Captioning,,keras,beam,5,20,38,0.0,0.0,50,1024,,
init_rnn_layers3_hidden4_keras_greedy_maxlen20,init_rnn_layers3_hidden4,,,,,,Captioning,,keras,greedy,,20,38,0.0,0.0,50,1024,,
