model,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image,predictions_path
init_rnn_layers1_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden4_keras_greedy_maxlen38.json
init_rnn_layers1_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden4_scratch_greedy_maxlen10.json
init_rnn_layers1_hidden4,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden4_scratch_greedy_maxlen20.json
init_rnn_layers1_hidden4,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden4_scratch_greedy_maxlen38.json
init_rnn_layers2_hidden2,keras,greedy,,10,38,0.11537132008267915,0.06192082106771624,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden2_keras_greedy_maxlen10.json
init_rnn_layers2_hidden2,keras,greedy,,20,38,0.05706926526782706,0.05595085583695057,1000,1024,10.036271707998822,0.010036271707998822,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden2_keras_greedy_maxlen20.json
init_rnn_layers2_hidden2,keras,greedy,,38,38,0.0297839568827671,0.04781719878028706,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden2_keras_greedy_maxlen38.json
init_rnn_layers2_hidden2,scratch,greedy,,10,38,0.11537132008267915,0.06192082106771624,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden2_scratch_greedy_maxlen10.json
init_rnn_layers2_hidden2,scratch,greedy,,20,38,0.05706926526782706,0.05595085583695057,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden2_scratch_greedy_maxlen20.json
init_rnn_layers2_hidden2,scratch,greedy,,38,38,0.0297839568827671,0.04781719878028706,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden2_scratch_greedy_maxlen38.json
init_rnn_layers2_hidden4,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden4_keras_greedy_maxlen10.json
init_rnn_layers2_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,10.046245124998677,0.010046245124998677,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden4_keras_greedy_maxlen20.json
init_rnn_layers2_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden4_keras_greedy_maxlen38.json
init_rnn_layers2_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden4_scratch_greedy_maxlen10.json
init_rnn_layers2_hidden4,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden4_scratch_greedy_maxlen20.json
init_rnn_layers2_hidden4,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers2_hidden4_scratch_greedy_maxlen38.json
init_rnn_layers3_hidden2,keras,greedy,,10,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers3_hidden2_keras_greedy_maxlen10.json
init_rnn_layers3_hidden2,keras,greedy,,20,38,0.0,0.0,1000,1024,0.7822729580002488,0.0007822729580002488,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers3_hidden2_keras_greedy_maxlen20.json
init_rnn_layers3_hidden2,keras,greedy,,38,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers3_hidden2_keras_greedy_maxlen38.json
init_rnn_layers3_hidden2,scratch,greedy,,10,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers3_hidden2_scratch_greedy_maxlen10.json
init_rnn_layers3_hidden2,scratch,greedy,,20,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers3_hidden2_scratch_greedy_maxlen20.json
